"label","phenotype","sd.diff.zeropeak","sd.diff.rotpeak","sd.diff.declinepeak","mu.diff.rotpeak","mu.diff.declinepeak","mu.diff.zeropeak","diff.orig.rotpeak","diff.orig.declinepeak","diff.orig.zeropeak"
"lh_bankssts","CT",0.125135326219163,0,0.979839552017112,0,-1.30184130062995,-0.0858463713577705,0,-1.35350253288743,-0.0940636662284073
"lh_caudalanteriorcingulate","CT",0.118930991697113,0,0.387152648490405,0,0.127555102637346,-0.0424939252965758,0,0.189058784888831,-0.0251282020611256
"lh_caudalmiddlefrontal","CT",0.310900525406777,0,3.05718360397597,0,75.9532780594315,0.105069526423104,0,74.3993564953873,0.0710891945780592
"lh_cuneus","CT",0.0710023643402272,9.6719189413084,0.225426489784167,-1.16415524374539,-0.592611010201749,0.307838905970193,-0.224726169993202,-0.581420381204149,0.311516146259024
"lh_entonal","CT",1.57643015022284,0.304727042846314,0,0.102736985811846,0,0.0426639861780462,0,0,0.0836880001492268
"lh_frontalpole","CT",0.125044153857332,0.00875021496246371,0.375738886748578,0.00603035684228634,0.268678856333841,0.0592701390176361,0,0.258676727406017,0.0562186716798876
"lh_fusiform","CT",0.103983670602164,0,0.912851226896816,0,0.379986556958877,0.153348051849964,0,0.415738877161898,0.157624449976919
"lh_inferiorparietal","CT",0.180054444592877,0,1.79133343632353,0,-8.30430392520122,0.170476977876983,0,-9.07524448459523,0.0508758626447203
"lh_inferiortemporal","CT",0.23343901016449,0,1.322234735499,0,-0.723310599186561,0.0876113993907049,0,-0.601111810669535,0.103673780842739
"lh_insula","CT",0.219844527519862,0,1.30695856211215,0,-2.50471760568502,-0.253950042547948,0,-2.30736968628768,-0.198354021507303
"lh_isthmuscingulate","CT",0.725206410000701,0.07011096936197,7.67529723678841,0.330570572699501,-15.3483847895846,0.508708529223659,0.328796487462202,-17.4328170488691,0.635105600721984
"lh_lateraloccipital","CT",0.124834727066084,0,0.453344579824979,0,-0.450553749111847,-0.13704079681754,0,-0.554757446188057,-0.162753193508109
"lh_lateralorbitofrontal","CT",0.126114804523296,0.000542513197929537,0.382914064771651,5.78321012154752e-05,-1.8701619403205,-0.37781838156335,0,-1.74533378550671,-0.35691641342393
"lh_lingual","CT",13.1283654864194,48.5905282206558,0.163618852389319,37.3601437817243,-1.85745132772505,2.90256766565981,0,-1.82631711732365,-0.800420924425869
"lh_medialorbitofrontal","CT",0.0682369313080089,0,0.190356839476195,0,-1.7124316290641,-0.322739204455131,0,-1.70194726692981,-0.325387735884825
"lh_middletemporal","CT",0.218643442830541,0,24.5701777199065,0,19.1844500064878,0.544631435522938,0,10.9657926132648,0.538966018945904
"lh_paracentral","CT",0.151870762698522,0,27.9816877346187,0,-49.1557203525842,-0.426604388580533,0,-30.7864628346691,-0.406109847664356
"lh_parahippocampal","CT",0.32169517757809,0,0,0,0,0.868233773695069,0,0,0.937769532355035
"lh_parsopercularis","CT",0.317282754058226,0,19.3569790309932,0,49.021023479592,-0.569144230218398,0,65.0747549010116,-0.572714279660627
"lh_parsorbitalis","CT",0.128515700040708,0,0.682843177576002,0,-0.541272765679474,-0.182442185676951,0,-0.374351568884155,-0.156083952095538
"lh_parstriangularis","CT",0.175692989859991,0,1.87532607560498,0,-3.78889459026009,-0.0828427337145316,0,-3.92897917666591,-0.0957106247045392
"lh_pericalcarine","CT",10.6834796587971,0,0.209210573701347,0,0.215309402935245,-43.4867373080222,0,0.228791510565078,-46.0902845796738
"lh_postcentral","CT",0.208675640788078,0,1.89025003086159,0,-77.7539413514668,0.229965584467369,0,-77.9677750166265,0.223232752103937
"lh_posteriorcingulate","CT",0.158818976199975,0,0.661306456763258,0,-0.92823705748164,-0.317544889032725,0,-0.801228566759688,-0.271364021781163
"lh_precentral","CT",0.784404184156834,0,0,0,0,1.79799253933372,0,0,1.81443227233601
"lh_precuneus","CT",0.0762518234988431,0,0.74997442199074,0,1.75718508354668,0.8630371498338,0,1.74933708659137,0.868417028624086
"lh_rostralanteriorcingulate","CT",0.0637264195150151,0,0.266316972503116,0,5.23821435468014,1.49408183902086,0,5.22125034320447,1.48737174201015
"lh_rostralmiddlefrontal","CT",0.13515687101107,0,1.12866616741875,0,4.31096084403057,-0.279726688049318,0,4.23174318874965,-0.287055886953685
"lh_superiorfrontal","CT",0.300955820780791,0,3.45385922056085,0,2.83785574526432,0.395107099946345,0,1.96100719551865,0.337315336360461
"lh_superiorparietal","CT",0.0663969168765149,0,0.461299441977856,0,-0.672340934405945,0.035914366917799,0,-0.559315729080588,0.045293388149855
"lh_superiortemporal","CT",0.368494734972067,0,0,0,0,0.175635302337817,0,0,0.225658280166892
"lh_supramarginal","CT",0.359100488856086,0,23.1527730760889,0,-19.5550919634834,0.564143185491909,0,-15.0070162302275,0.65382797348658
"lh_temporalpole","CT",0.863115351012131,0,0,0,0,-2.61369035927034,0,0,-2.7526228857999
"lh_transversetemporal","CT",0.100202395424592,0,0.598621427949485,0,0.801698246216739,0.441893690052388,0,0.879713225283733,0.45378546753807
"lh_HEMI.GM","GM",0.0856756722739352,0.018302596833535,2.20699290859013,0.00582514771292398,14.4108367547207,0.799277859740752,0.00610874552252383,14.6812239441295,0.821331787508501
"lh_bankssts","GM",0.185632974363289,0.0144383531629517,2.39156735333117,-0.0349102751789147,-2.54443957490938,-0.290902046707651,-0.0358211040883781,-2.60482743960194,-0.29224140687182
"lh_caudalanteriorcingulate","GM",0.515441997953295,0.0384739540530736,0,-0.119843593497718,0,2.94354037820834,-0.125572153119238,0,2.92267894780367
