"","label","phenotype","signed","absolute","log.signed","log.absolute"
"1","lh_bankssts","GM",2686.36128759869,2686.36128759869,0.47148618528445,0.47148618528445
"2","lh_caudalanteriorcingulate","GM",-4271.6859900937,4286.99776298538,-0.460252226567083,0.521140854437069
"3","lh_caudalmiddlefrontal","GM",1865.94033933227,1865.94033933227,0.271574577337925,0.271574577337925
"4","lh_cuneus","GM",-1170.30926603737,1170.63510793095,-0.132522051621639,0.133586027177222
"5","lh_entorhinal","GM",1185.84376068114,1278.3965926995,-0.00293630463285526,0.248878896895655
"6","lh_frontalpole","GM",-4798.64900014447,4798.64900014447,-0.647284313860377,0.647284313860377
"7","lh_fusiform","GM",654.019500080475,654.019500080475,0.149057324100085,0.149057324100085
"8","lh_HEMI","GM",-34.0443102038921,54.353040480431,0.00197627983822565,0.00595486099328806
"9","lh_inferiorparietal","GM",-5889.72617529122,5889.72617529122,-0.797957653345882,0.797957653345882
"10","lh_inferiortemporal","GM",554.697974296222,625.355559539043,-0.0270155544227279,0.118205089237628
"11","lh_insula","GM",-600.799407219674,600.799407219674,-0.132639782555619,0.132639782555619
"12","lh_isthmuscingulate","GM",970.495499439353,970.495499439353,0.31251777972161,0.31251777972161
"13","lh_lateraloccipital","GM",-712.557804436906,712.557804436906,-0.147701752221924,0.147701752221924
"14","lh_lateralorbitofrontal","GM",1046.80656555309,1052.75613504584,0.11748450161018,0.140777824490344
"15","lh_lingual","GM",-1504.32854679789,1517.93744080982,-0.0933384830947012,0.136601647992484
"16","lh_medialorbitofrontal","GM",-1090.82522534854,1090.82522534854,-0.200525515600109,0.200525515600109
"17","lh_middletemporal","GM",-1922.89576225788,1922.89664811923,-0.229922102300418,0.229926328005263
"18","lh_paracentral","GM",-2579.03824345913,2579.03824345913,-0.406240149889101,0.406240149889101
"19","lh_parahippocampal","GM",1067.10685160112,1067.10685160112,0.347008712873586,0.347008712873586
"20","lh_parsopercularis","GM",4688.55651643883,4688.55651643883,0.658383709832227,0.658383709832227
"21","lh_parsorbitalis","GM",-5991.23382338054,5991.23382338054,-0.903437174319562,0.903437174319562
"22","lh_parstriangularis","GM",-4409.07196858658,4409.07196858658,-0.57510120475007,0.57510120475007
"23","lh_pericalcarine","GM",-2270.74073102351,2270.74073102351,-0.26561871539257,0.26561871539257
"24","lh_postcentral","GM",1651.28967027269,1651.28967027269,0.246368084134556,0.246368084134556
"25","lh_posteriorcingulate","GM",1289.50326796234,1289.50326796234,0.194230976199554,0.194230976199554
"26","lh_precentral","GM",518.740640498799,518.740640498799,0.0690756258787863,0.0690756258787863
"27","lh_precuneus","GM",-1132.28232128969,1137.20599169196,-0.129274475823217,0.149950004231868
"28","lh_rostralanteriorcingulate","GM",7050.9690633392,7050.9690633392,0.951661513874697,0.951661513874697
"29","lh_rostralmiddlefrontal","GM",-325.909081056475,325.909081056475,-0.0690437766985088,0.0690437766985088
"30","lh_superiorfrontal","GM",1305.02948253278,1305.02948253278,0.178076357613297,0.178076357613297
"31","lh_superiorparietal","GM",-28.7052068098922,67.4944771993819,0.00873400126108129,0.0192289077948039
"32","lh_superiortemporal","GM",1856.89221102018,1856.89221102018,0.27013231836137,0.27013231836137
"33","lh_supramarginal","GM",2797.97458599213,2797.97458599213,0.412655685492344,0.412655685492344
"34","lh_temporalpole","GM",397.686266598588,514.186849928683,-0.113043875252128,0.208752664419191
"35","lh_transversetemporal","GM",5600.08589110875,5600.08589110875,0.69488720447008,0.69488720447008
"36","lh_bankssts","CT",-1021.77208091113,1024.82183574067,-0.105883569368633,0.117724682885513
"37","lh_caudalanteriorcingulate","CT",859.028593757015,859.028593757015,0.221153962359413,0.221153962359413
"38","lh_caudalmiddlefrontal","CT",162.319282229563,184.390286061659,0.0422084345885358,0.0428460043932744
"39","lh_cuneus","CT",-364.062286046356,374.715977269321,-0.0112574252172065,0.0355685502593206
"40","lh_entorhinal","CT",-692.250523952631,694.351496677065,-0.0579111056765885,0.0657014532866391
"41","lh_frontalpole","CT",115.211217298656,169.604906740171,-0.01226002637568,0.0451119741716679
"42","lh_fusiform","CT",-117.394139677337,125.059180700122,-0.00172409266824937,0.0249559614562229
"43","lh_HEMI","CT",-167.105197135465,167.105334364657,-0.0123430477414238,0.0123435160843509
"44","lh_inferiorparietal","CT",-424.850962334339,424.850962334339,-0.056456603521613,0.056456603521613
"45","lh_inferiortemporal","CT",-95.2258820026295,97.5869848819091,-0.0136904520330544,0.0151443939315755
"46","lh_insula","CT",-275.774687532966,275.774687532966,-0.0450655240239164,0.0450655240239164
"47","lh_isthmuscingulate","CT",67.9026954755596,67.9026954755596,0.0111894381398455,0.0111894381398455
"48","lh_lateraloccipital","CT",-834.041779741377,834.041779741377,-0.146422482015205,0.146422482015205
"49","lh_lateralorbitofrontal","CT",300.371679434652,323.804601942695,0.0607315100459088,0.0613987279405381
"50","lh_lingual","CT",-465.983640207069,468.257456310396,-0.0376407192600751,0.046355812251339
"51","lh_medialorbitofrontal","CT",-182.303104933969,202.426880940055,-0.0208587399161819,0.039653197862568
"52","lh_middletemporal","CT",-444.221072763286,448.75060592664,-0.0412963132927862,0.0585421711647545
"53","lh_paracentral","CT",-102.538136232791,151.448327063371,-0.0180076881967613,0.0359159767869118
"54","lh_parahippocampal","CT",737.307382155029,737.307382155029,0.123543479854355,0.123543479854355
"55","lh_parsopercularis","CT",-184.356127751075,189.602192283304,-0.00354095213648328,0.0226827700294027
"56","lh_parsorbitalis","CT",-72.1775192807396,116.799104094959,-0.00985852283996487,0.0221862533253965
